Coefficient_name,value
Intercept,0.4943105611616227
PTS_TYPE[T.3PT Field Goal],1.250917619350455
LOCATION[T.H],0.0065383954404700292
ACTION_TYPE[T.Alley Oop Layup shot],-1.5018336289785217
ACTION_TYPE[T.Driving Bank Hook Shot],-0.68573905758501175
ACTION_TYPE[T.Driving Bank shot],-0.79050427160970016
ACTION_TYPE[T.Driving Dunk Shot],0.092127937491902998
ACTION_TYPE[T.Driving Finger Roll Layup Shot],-0.40964483101802179
ACTION_TYPE[T.Driving Hook Shot],-1.7773595039128061
ACTION_TYPE[T.Driving Jump shot],-2.2210371974235588
ACTION_TYPE[T.Driving Layup Shot],-0.99673457055182901
ACTION_TYPE[T.Driving Reverse Layup Shot],-1.0825713248186355
ACTION_TYPE[T.Driving Slam Dunk Shot],1.1246267858182675
ACTION_TYPE[T.Dunk Shot],-0.30204756816171141
ACTION_TYPE[T.Fadeaway Bank shot],-0.80514772087442787
ACTION_TYPE[T.Fadeaway Jump Shot],-2.2341329767354616
ACTION_TYPE[T.Finger Roll Layup Shot],-1.0193624799092482
ACTION_TYPE[T.Floating Jump shot],-1.8123412710770033
ACTION_TYPE[T.Hook Bank Shot],-0.67079322254457496
ACTION_TYPE[T.Hook Shot],-2.2887229830679656
ACTION_TYPE[T.Jump Bank Hook Shot],-0.47823069428051529
ACTION_TYPE[T.Jump Bank Shot],-1.6164334739239219
ACTION_TYPE[T.Jump Hook Shot],-1.6506734583031943
ACTION_TYPE[T.Jump Shot],-3.1235005400696711
ACTION_TYPE[T.Layup Shot],-2.2207375868520463
ACTION_TYPE[T.Pullup Bank shot],-1.4049350482887704
ACTION_TYPE[T.Pullup Jump shot],-1.9743985762755238
ACTION_TYPE[T.Putback Dunk Shot],-0.43164169507765104
ACTION_TYPE[T.Putback Layup Shot],-1.1940608042380079
ACTION_TYPE[T.Putback Slam Dunk Shot],0.41111907508060258
ACTION_TYPE[T.Reverse Dunk Shot],0.0021345797639264162
ACTION_TYPE[T.Reverse Layup Shot],-1.4346212201312658
ACTION_TYPE[T.Reverse Slam Dunk Shot],1.4866462491811667
ACTION_TYPE[T.Running Bank Hook Shot],-0.083824120033033606
ACTION_TYPE[T.Running Bank shot],-1.1994885387597389
ACTION_TYPE[T.Running Dunk Shot],0.60210896184229001
ACTION_TYPE[T.Running Finger Roll Layup Shot],-0.52311082710621559
ACTION_TYPE[T.Running Hook Shot],-1.8031476117741814
ACTION_TYPE[T.Running Jump Shot],-2.2686084563460307
ACTION_TYPE[T.Running Layup Shot],-1.4101562637260943
ACTION_TYPE[T.Running Reverse Layup Shot],-0.92030625679603628
ACTION_TYPE[T.Running Slam Dunk Shot],2.3294104859881353
ACTION_TYPE[T.Running Tip Shot],-1.3913407641527866
ACTION_TYPE[T.Slam Dunk Shot],1.334785839297737
ACTION_TYPE[T.Step Back Jump shot],-2.2326740266776817
ACTION_TYPE[T.Tip Shot],-2.7283995113937074
ACTION_TYPE[T.Turnaround Bank Hook Shot],-0.083848660322298652
ACTION_TYPE[T.Turnaround Bank shot],-1.2005988451046934
ACTION_TYPE[T.Turnaround Fadeaway shot],-2.1020724805304294
ACTION_TYPE[T.Turnaround Hook Shot],-1.8472021023778842
ACTION_TYPE[T.Turnaround Jump Shot],-2.3269166437402506
center3,1.4490970203639735
paint,1.2682133848082597
leftCorner3,1.4498950537257245
rightCorner3,1.5120867817471824
midrange,1.410823148807135
restricted,1.3344851104872633
MINUTES_REMAINING,-0.0016128252982268412
SHOT_DISTANCE,0.0094931503801197383
SHOT_DISTANCE:PTS_TYPE[T.3PT Field Goal],-0.062607768378998535
SHOT_CLOCK,0.013951276833956035
DRIBBLES,-0.038001816798656343
TOUCH_TIME,-0.067047151042079367
CLOSE_DEF_DIST,0.078744172876361568
DRIBBLES:TOUCH_TIME,0.0047779645206825891
